N,Merge sort,Bubble sort,Flagged bubble sort,Merge sort,Bubble sort,Flagged bubble sort,Merge sort,Bubble sort,Flagged bubble sort
100,0.000021,0.000057,0.000003,0.000031,0.000106,0.000108,0.000018,0.000100,0.000102
2000,0.000427,0.015630,0.000010,0.000351,0.014908,0.014998,0.000173,0.016751,0.013592
3000,0.000262,0.020304,0.000015,0.000528,0.034703,0.034935,0.000268,0.037759,0.030708
4000,0.000355,0.035779,0.000019,0.000714,0.063563,0.064291,0.000367,0.067163,0.054431
5000,0.000458,0.056006,0.000023,0.000912,0.106244,0.107052,0.000473,0.105723,0.086836
6000,0.000556,0.084677,0.000029,0.001230,0.161572,0.159599,0.000570,0.151613,0.122625
7000,0.000660,0.110774,0.000034,0.001365,0.227711,0.230634,0.000678,0.206107,0.166394
8000,0.000782,0.144023,0.000038,0.001492,0.300677,0.305487,0.000782,0.268589,0.217048
9000,0.000883,0.182095,0.000043,0.001683,0.385578,0.391041,0.000931,0.340598,0.274724
10000,0.000975,0.224702,0.000047,0.001960,0.487221,0.496020,0.001009,0.426628,0.339193
11000,0.001101,0.270727,0.000052,0.002106,0.592436,0.602797,0.001100,0.508430,0.411083
12000,0.001179,0.322223,0.000056,0.002254,0.721545,0.727909,0.001212,0.607223,0.489777
13000,0.001302,0.378445,0.000061,0.002477,0.846601,0.864297,0.001334,0.713077,0.576046
14000,0.001392,0.438636,0.000064,0.002659,0.992857,1.010824,0.001443,0.828301,0.671808
15000,0.001502,0.503547,0.000069,0.002885,1.145322,1.166523,0.001546,0.949916,0.767992
16000,0.001600,0.577444,0.000076,0.003096,1.306651,1.333172,0.001653,1.087562,0.900411
17000,0.001721,0.649388,0.000081,0.003275,1.488106,1.518454,0.001762,1.214121,0.983046
18000,0.001843,0.729212,0.000085,0.003493,1.665149,1.692946,0.001879,1.372696,1.110720
19000,0.001948,0.808894,0.000089,0.003679,1.878277,1.912655,0.001994,1.541808,1.238768
20000,0.002068,0.909670,0.000095,0.003866,2.084826,2.128715,0.002095,1.706299,1.373847
21000,0.002183,1.004242,0.000099,0.004074,2.311683,2.367501,0.002216,1.876403,1.522303
22000,0.002295,1.099715,0.000103,0.004306,2.536160,2.623441,0.002317,2.037630,1.645603
23000,0.002407,1.184713,0.000107,0.004485,2.769388,2.823215,0.002441,2.221910,1.797036
24000,0.002511,1.287959,0.000110,0.004681,2.999945,3.074567,0.002559,2.439179,1.990128
25000,0.002624,1.401323,0.000117,0.004906,3.276674,3.342791,0.002644,2.677728,2.139734
26000,0.002746,1.526917,0.000122,0.005137,3.578168,3.643374,0.002808,2.892000,2.313282
27000,0.002858,1.644772,0.000124,0.005317,3.863106,3.919382,0.002917,3.112359,2.509366
28000,0.002975,1.769177,0.000131,0.005503,4.161560,4.279504,0.003028,3.343899,2.683897
29000,0.004810,1.912695,0.000135,0.005688,4.456695,4.551687,0.003141,3.620263,2.880175
30000,0.003226,2.031718,0.000140,0.005983,4.817999,4.906144,0.003258,3.931444,3.114337
31000,0.003330,2.164990,0.000147,0.006176,5.106767,5.239294,0.003349,4.129335,3.302136
32000,0.003439,2.294148,0.000146,0.006360,5.449196,5.553657,0.003472,4.324072,3.481426
33000,0.003547,2.434747,0.000154,0.006600,5.772966,5.899141,0.003603,4.593543,3.703514
34000,0.003775,2.598942,0.000159,0.006752,6.146273,6.266996,0.003713,4.857097,3.973974
35000,0.003913,2.759084,0.000163,0.007007,6.618772,6.998094,0.004018,6.827837,4.969997
36000,0.005818,3.506766,0.000165,0.007893,7.167429,7.103906,0.003959,5.573006,4.419009
37000,0.004020,3.078014,0.000174,0.007334,7.337721,7.501199,0.004049,5.862208,4.684444
38000,0.004153,3.240677,0.000178,0.007583,7.724112,7.914362,0.004181,6.113566,4.930073
39000,0.004561,3.415596,0.000179,0.007808,8.152361,8.302298,0.004283,6.434502,6.070080
40000,0.004391,3.631591,0.000188,0.007966,8.551498,8.739087,0.004716,6.805456,5.525245
41000,0.004504,3.823459,0.000191,0.008185,9.102684,9.236264,0.004622,7.159821,5.732442
42000,0.004656,3.977532,0.000195,0.008421,9.483344,9.667302,0.004656,7.490120,6.040259
43000,0.004680,4.154098,0.000198,0.008690,9.937491,10.140636,0.004770,7.775626,6.272884
44000,0.004867,4.332582,0.000207,0.008906,10.356506,10.564962,0.004878,8.283954,6.739696
45000,0.004969,4.586988,0.000211,0.009063,10.944079,11.176934,0.004991,8.682455,6.949007
46000,0.005108,4.794977,0.000214,0.009296,11.525920,11.654709,0.005171,8.931597,7.204966
47000,0.005229,5.008660,0.000214,0.009713,12.003505,12.413534,0.005288,9.390633,7.491826
48000,0.005331,5.162577,0.000223,0.009651,12.424963,12.748058,0.005401,9.845923,7.933476
49000,0.006824,5.395789,0.000229,0.009826,12.972192,13.295049,0.005437,10.195917,8.168281
50000,0.005550,5.644363,0.000234,0.010044,13.621124,13.845642,0.005566,10.603388,8.523527
